id;username;device_id;phone_model;os_version;installed_on
1;fooey;knottily yahoo;ha trail woefully;demanding knottily bone;2023-12-20T03:46:11
2;whoa;mmm;accidentally wearily;bracket cheerfully;2023-12-20T14:51:16
3;physically phooey;unusual worn;yum boo zowie;wide;2023-12-20T00:13:01
4;boatload;sellotape quaint;as;given;2023-12-20T17:30:19
5;till;and;duh;gratefully bah;2023-12-20T12:47:19
6;toward reflate;aha oof amidst;broadside;pension whether;2023-12-20T09:52:14
7;relieved unimpressively half;hence really;prevaricate yet;athletics;2023-12-20T04:12:45
8;plus within electric;circa rasterise;greedy dine;shyly and e-book;2023-12-20T17:13:16
9;without;worth bah burdensome;open moustache zowie;elope;2023-12-20T14:05:08
10;closely till lively;whenever abaft;hence;attached the sledge;2023-12-19T21:48:09
