id;type;description;quantity;price_unit;price_extended;dis_rate;dis_amount;final_price;vat_rate;vat_amount;total
1;AMS;elver pish;12827;23079.29;200.2;24318.83;1367.3;14240.26;9023.69;7558.6;6529.19
2;AMS;questionably;23175;8791.04;26093.41;12940.46;14400.87;10590.48;1931.86;7596.97;3520.29
3;AMS;administration except settler;11684;24984.06;10929.34;14532.63;28199.57;17844.88;7273.31;25707.35;31655.85
4;AMS;anteater usefully;25553;19116.37;581.11;16044.18;2343.26;26415.13;26882.09;14627.67;1346.39
5;AMS;um;27418;6873.37;30393.76;24625.23;7501.19;29847.07;12934.75;16378.7;10176.57
6;AMS;than;23616;7196.68;26205.1;15242.55;26858.28;18749.52;4646.87;21826.71;14404.18
7;AMS;glamorous dictaphone;27162;13952.06;4230.71;12300.9;28198.53;30434.22;22803.29;20759.3;28223.16
8;AMS;optimistically freely;4360;30882.61;21321.16;13043.02;336.82;19178.23;12806.27;13023.31;15753.14
9;AMS;yippee tinkling geez;16250;3514.29;949.1;6363.48;17956.57;29445.97;4029.93;9906.87;1428.06
10;AMS;yahoo;16038;13856.38;19426.04;2259.1;31746.31;14854.96;17836.48;20875.28;12193.24
